GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer
malllabiisc/reside,N,184,107,2484,The source code of the project exists as ad-hoc scripts,1,https://github.com/malllabiisc/RESIDE/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project,1,"There is a well-maintained README, and the majority of the functions in https://github.com/malllabiisc/RESIDE/blob/master/pcnnatt.py and https://github.com/malllabiisc/RESIDE/blob/master/cnnatt.py and https://github.com/malllabiisc/RESIDE/blob/master/helper.py have appropriate docstrings",1,https://github.com/malllabiisc/RESIDE/graphs/commit-activity shows there have been some activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/malllabiisc/RESIDE/pull/48 and https://github.com/malllabiisc/RESIDE/pull/47",1,https://github.com/malllabiisc/RESIDE/blob/master/LICENSE,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mangaki/mangaki,Y,108,1026,10090,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/mangaki/mangaki/graphs/contributors shows that there are multiple contributors but mainly 1,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/mangaki/mangaki/blob/master/mangaki/mangaki/models.py and https://github.com/mangaki/mangaki/blob/master/mangaki/mangaki/settings.py and https://github.com/mangaki/mangaki/blob/master/mangaki/mangaki/views.py have appropriate docstrings",1,https://github.com/mangaki/mangaki/graphs/commit-activity shows there have been a few activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/mangaki/mangaki/issues/680 and https://github.com/mangaki/mangaki/issues/672",1,https://github.com/mangaki/mangaki/blob/master/LICENSE,1,There are many files related to testing,40.0,12.0,204.0,192.0,761.0,293.0,293.0,0.0,8.0,511.0,0.01238390092879257,0.008928571428571428,0.023572914259302056,0.02224539450816823,0.02427199948968201,0.014257213760887549,0.014257213760887549,0.0,0.008724100327153763,0.011485727129692066
mapbox/robosat,Y,1608,147,1863,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/mapbox/robosat/graphs/contributors shows that there are multiple contributors but mainly 2,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/mapbox/robosat/blob/master/robosat/features/parking.py and https://github.com/mapbox/robosat/blob/master/robosat/losses.py and https://github.com/mapbox/robosat/blob/master/robosat/metrics.py have appropriate docstrings",1,https://github.com/mapbox/robosat/graphs/commit-activity shows there have been very few activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/mapbox/robosat/issues/207 and https://github.com/mapbox/robosat/issues/206",1,https://github.com/mapbox/robosat/blob/master/LICENSE,1,There are many files related to testing,20.0,2.0,27.0,16.0,73.0,138.0,138.0,9.0,6.0,119.0,0.006191950464396285,0.001488095238095238,0.00311994453431939,0.001853782875680686,0.0023283258380378275,0.006715001703080142,0.006715001703080142,0.004751847940865892,0.0065430752453653224,0.002674758372668015
marcskovmadsen/awesome-streamlit,Y,374,472,7378,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MarcSkovMadsen/awesome-streamlit/graphs/contributors shows that there are multiple contributors,1,The project uses Azure Pipeline for CI,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/MarcSkovMadsen/awesome-streamlit/issues/15 and https://github.com/MarcSkovMadsen/awesome-streamlit/issues/13 but not often",1,https://github.com/MarcSkovMadsen/awesome-streamlit/blob/master/license.md is provided.,1,There are files related to testing.,4.0,1.0,2.0,0.0,59.0,85.0,85.0,4.0,1.0,74.0,0.001238390092879257,0.000744047619047619,0.00023110700254217703,0.0,0.0018817975951264632,0.004136051773636319,0.004136051773636319,0.0021119324181626186,0.0010905125408942203,0.0016632951224994379
markusproject/markus,Y,208,13542,2188,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MarkUsProject/Markus/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/MarkUsProject/Markus/issues/4710 and https://github.com/MarkUsProject/Markus/issues/4473",1,https://github.com/MarkUsProject/Markus/blob/master/LICENSE is provided.,1,There are many files related to testing but its everywhere,6.0,1.0,91.0,71.0,85.0,397.0,397.0,20.0,0.0,93.0,0.0018575851393188856,0.000744047619047619,0.010515368615669055,0.008226161510833043,0.002711064331961854,0.019317794754513163,0.019317794754513163,0.010559662090813094,0.0,0.002090357383681726
masa-su/pixyz,Y,337,722,8937,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/masa-su/pixyz/graphs/contributors shows that there are multiple contributors but mainly 1,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/masa-su/pixyz/blob/master/pixyz/utils.py and https://github.com/masa-su/pixyz/blob/master/pixyz/layers/resnet.py and https://github.com/masa-su/pixyz/blob/master/pixyz/losses/elbo.py have appropriate docstrings",1,https://github.com/masa-su/pixyz/graphs/commit-activity shows that there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/masa-su/pixyz/issues/111 and https://github.com/masa-su/pixyz/issues/101",1,https://github.com/masa-su/pixyz/blob/master/LICENSE,0,there is no evidence of any testing done on the project.,21.0,0.0,72.0,62.0,176.0,351.0,351.0,2.0,1.0,242.0,0.0065015479876161,0.0,0.008319852091518374,0.007183408643262658,0.00561349791088572,0.01707946085348645,0.01707946085348645,0.0010559662090813093,0.0010905125408942203,0.005439424589795459
materialsvirtuallab/megnet,Y,178,714,4994,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/materialsvirtuallab/megnet/graphs/contributors shows that there are multiple contributors but mainly 2,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/materialsvirtuallab/megnet/blob/master/megnet/callbacks.py and https://github.com/materialsvirtuallab/megnet/blob/master/megnet/activations.py and https://github.com/materialsvirtuallab/megnet/blob/master/megnet/models/megnet.py have appropriate docstrings",1,https://github.com/materialsvirtuallab/megnet/graphs/commit-activity shows there have been significant amount of activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/materialsvirtuallab/megnet/issues/125 and https://github.com/materialsvirtuallab/megnet/issues/124",1,https://github.com/materialsvirtuallab/megnet/blob/master/LICENSE.md,1,There are many files related to testing,14.0,1.0,27.0,27.0,119.0,110.0,110.0,0.0,0.0,164.0,0.0043343653250774,0.000744047619047619,0.00311994453431939,0.0031282586027111575,0.003795490064746595,0.005352537589411707,0.005352537589411707,0.0,0.0,0.003686221622836592
maybeshewill-cv/crnn_tensorflow,Y,849,263,2209,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/MaybeShewill-CV/CRNN_Tensorflow/issues/402 and https://github.com/MaybeShewill-CV/CRNN_Tensorflow/issues/391",1,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,22.0,4.0,9.0,9.0,251.0,110.0,110.0,2.0,16.0,157.0,0.006811145510835914,0.002976190476190476,0.0010399815114397967,0.0010427528675703858,0.008005613497910886,0.005352537589411707,0.005352537589411707,0.0010559662090813093,0.017448200654307525,0.003528882895032591
maybeshewill-cv/lanenet-lane-detection,Y,1114,148,3461,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MaybeShewill-CV/lanenet-lane-detection/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/MaybeShewill-CV/lanenet-lane-detection/issues/419 and https://github.com/MaybeShewill-CV/lanenet-lane-detection/issues/410",1,https://github.com/MaybeShewill-CV/lanenet-lane-detection/blob/master/LICENSE is provided.,1,There are files related to testing.,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.08482142857142856,0.007164317078807488,0.005908932916232186,0.042739131821516285,0.03119069631648095,0.03119069631648095,0.02375923970432946,0.03816793893129771,0.010227017307260057
mdeff/fma,N,1175,189,1451,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/mdeff/fma/graphs/commit-activity shows there have been very few activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/mdeff/fma/issues/40 and https://github.com/mdeff/fma/issues/39",1,https://github.com/mdeff/fma/blob/master/LICENSE.txt,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medipixel/rl_algorithms,Y,277,141,9130,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/medipixel/rl_algorithms/graphs/contributors shows that there are multiple contributors but mainly 2,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/medipixel/rl_algorithms/blob/master/rl_algorithms/td3/agent.py and https://github.com/medipixel/rl_algorithms/blob/master/rl_algorithms/recurrent/learner.py and https://github.com/medipixel/rl_algorithms/blob/master/rl_algorithms/ppo/agent.py have appropriate docstrings",1,https://github.com/medipixel/rl_algorithms/graphs/commit-activity shows there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/medipixel/rl_algorithms/issues/254 and https://github.com/medipixel/rl_algorithms/issues/251",1,https://github.com/medipixel/rl_algorithms/blob/master/LICENSE.md,1,There are many files related to testing,9.0,0.0,16.0,14.0,56.0,74.0,74.0,0.0,0.0,19.0,0.0027863777089783283,0.0,0.0018488560203374163,0.0016220600162206002,0.0017861129716454567,0.0036007980146951484,0.0036007980146951484,0.0,0.0,0.0004270622611822881
megviidetection/video_analyst,Y,351,634,17656,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MegviiDetection/video_analyst/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/MegviiDetection/video_analyst/issues/112 and https://github.com/MegviiDetection/video_analyst/issues/90",1,https://github.com/MegviiDetection/video_analyst/blob/master/LICENSE is provided.,1,There are files related to testing but everywhere,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.08482142857142856,0.007164317078807488,0.005908932916232186,0.042739131821516285,0.03119069631648095,0.03119069631648095,0.02375923970432946,0.03816793893129771,0.010227017307260057
mesutpiskin/computer-vision-guide,N,198,101,964,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/mesutpiskin/computer-vision-guide/graphs/commit-activity shows that there have been very few activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/mesutpiskin/computer-vision-guide/issues/1",1,https://github.com/mesutpiskin/computer-vision-guide/blob/master/LICENSE.en-US.md,0,there is no evidence of any testing done on the project.,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.08482142857142856,0.007164317078807488,0.005908932916232186,0.042739131821516285,0.03119069631648095,0.03119069631648095,0.02375923970432946,0.03816793893129771,0.010227017307260057
mic-dkfz/nnunet,Y,785,414,19324,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MIC-DKFZ/nnUNet/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity but not last month,1,"The project maintainers respond to issues, as evidenced by https://github.com/MIC-DKFZ/nnUNet/issues/239 and https://github.com/MIC-DKFZ/nnUNet/issues/212",1,https://github.com/MIC-DKFZ/nnUNet/blob/master/LICENSE is provided.,1,Only managed to find 1 file related to testing,259.0,24.0,130.0,129.0,233.0,420.0,420.0,0.0,22.0,1521.0,0.08018575851393189,0.017857142857142856,0.015021955165241508,0.014946124435175531,0.007431505757024846,0.02043696170502652,0.02043696170502652,0.0,0.023991275899672846,0.034187457855697906
mic-dkfz/trixi,Y,196,635,6268,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MIC-DKFZ/trixi/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/MIC-DKFZ/trixi/issues/26 and https://github.com/MIC-DKFZ/trixi/issues/22",1,https://github.com/MIC-DKFZ/trixi/blob/develop/LICENSE is provided.,1,There are many files related to testing.,43.0,33.0,35.0,34.0,413.0,352.0,352.0,17.0,11.0,260.0,0.013312693498452013,0.024553571428571428,0.004044372544488098,0.003939288610821458,0.013172583165885243,0.017128120286117463,0.017128120286117463,0.00897571277719113,0.011995637949836423,0.00584400988986289
michaelhush/m-loop,Y,127,370,4091,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/michaelhush/M-LOOP/graphs/contributors shows that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/michaelhush/M-LOOP/blob/master/mloop/interfaces.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/controllers.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/neuralnet.py have appropriate docstrings",1,https://github.com/michaelhush/M-LOOP/graphs/commit-activity shows that there have been activities in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/michaelhush/M-LOOP/issues/40 and https://github.com/michaelhush/M-LOOP/issues/38",1,https://github.com/michaelhush/M-LOOP/blob/master/LICENSE.txt,1,There are many files related to testing,6.0,8.0,14.0,10.0,110.0,98.0,98.0,1.0,2.0,55.0,0.0018575851393188856,0.005952380952380952,0.0016177490177952392,0.0011586142973004287,0.0035084361943035756,0.004768624397839521,0.004768624397839521,0.0005279831045406547,0.0021810250817884407,0.0012362328613171499
microsoft/adaptivecards,Y,745,2653,4318,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/AdaptiveCards/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/microsoft/AdaptiveCards/graphs/commit-activity shows that there have been a siginificant amount of activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/AdaptiveCards/issues/4311 and https://github.com/microsoft/AdaptiveCards/issues/4301",1,https://github.com/microsoft/AdaptiveCards/blob/main/LICENSE,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft/ai-edu,N,7874,506,25848,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",1,https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft/botbuilder-python,Y,372,1382,40120,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/botbuilder-python/graphs/contributors shows that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-ai/botbuilder/ai/luis/luis_recognizer.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-applicationinsights/botbuilder/applicationinsights/application_insights_telemetry_client.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-core/botbuilder/core/activity_handler.py have appropriate docstrings",1,https://github.com/microsoft/botbuilder-python/graphs/commit-activity shows that there have been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/botbuilder-python/issues/1236 and https://github.com/microsoft/botbuilder-python/issues/1235",1,https://github.com/microsoft/botbuilder-python/blob/master/LICENSE,1,There are many files related to testing,63.0,8.0,30.0,6.0,101.0,347.0,347.0,5.0,11.0,888.0,0.0195046439628483,0.005952380952380952,0.0034666050381326557,0.0006951685783802572,0.0032213823238605556,0.016884823122962387,0.016884823122962387,0.0026399155227032735,0.011995637949836423,0.019959541469993257
microsoft/deepspeed,Y,2652,198,21773,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/DeepSpeed/graphs/contributors shows there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/microsoft/DeepSpeed/graphs/commit-activity shows there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/DeepSpeed/issues/279 and https://github.com/microsoft/DeepSpeed/issues/274",1,https://github.com/microsoft/DeepSpeed/blob/master/LICENSE,1,There are many files related to testing,90.0,21.0,202.0,190.0,1349.0,857.0,857.0,12.0,121.0,958.0,0.027863777089783284,0.015625,0.02334180725675988,0.022013671648708145,0.043026185691959304,0.0417011337647803,0.0417011337647803,0.006335797254487856,0.13195201744820065,0.021532928748033264
microsoft/edgeml,Y,840,858,21102,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/EdgeML/graphs/contributors shows there are multiple contributors,0,CI is not used on the project,1,"There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/EdgeML/blob/master/pytorch/edgeml_pytorch/trainer/fastTrainer.py and https://github.com/microsoft/EdgeML/blob/master/tf/edgeml_tf/trainer/emirnnTrainer.py and https://github.com/microsoft/EdgeML/blob/master/tf/edgeml_tf/trainer/protoNNTrainer.py have appropriate docstrings",1,https://github.com/microsoft/EdgeML/graphs/commit-activity shows there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/EdgeML/issues/185 and https://github.com/microsoft/EdgeML/issues/184",1,https://github.com/microsoft/EdgeML/blob/master/License.txt,0,there is no evidence of any testing done on the project.,73.0,8.0,100.0,57.0,1232.0,768.0,768.0,19.0,65.0,2120.0,0.02260061919504644,0.005952380952380952,0.011555350127108852,0.006604101494612444,0.03929448537620005,0.03737044426061992,0.03737044426061992,0.01003167898627244,0.07088331515812432,0.047651157563497415
microsoft/forecasting,Y,1205,1218,3262,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/forecasting/graphs/contributors shows that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/forecasting/blob/master/fclib/fclib/models/dilated_cnn.py and https://github.com/microsoft/forecasting/blob/master/fclib/fclib/feature_engineering/feature_utils.py and https://github.com/microsoft/forecasting/blob/master/fclib/fclib/azureml/azureml_utils.py have appropriate docstrings",1,https://github.com/microsoft/forecasting/graphs/commit-activity shows that there have been some activities in the past few months with a few in the last month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/forecasting/issues/213 and https://github.com/microsoft/forecasting/issues/201",1,https://github.com/microsoft/forecasting/blob/master/LICENSE,1,There are many files related to testing,20.0,26.0,1.0,0.0,92.0,98.0,98.0,1.0,1.0,203.0,0.006191950464396285,0.019345238095238096,0.00011555350127108852,0.0,0.0029343284534175357,0.004768624397839521,0.004768624397839521,0.0005279831045406547,0.0010905125408942203,0.004562823106316026
microsoft/hummingbird,Y,1247,130,12510,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/hummingbird/graphs/contributors shows that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/convert.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/operator_converters/skl_decision_tree.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/ir_converters/topology.py have appropriate docstrings",1,https://github.com/microsoft/hummingbird/graphs/commit-activity shows that there have been few activities in the past few months with some activities in the last month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/hummingbird/issues/184 and https://github.com/microsoft/hummingbird/issues/181",1,https://github.com/microsoft/hummingbird/blob/master/LICENSE,1,There are many files related to testing,157.0,47.0,159.0,154.0,1541.0,1147.0,1147.0,4.0,107.0,1394.0,0.04860681114551084,0.034970238095238096,0.018373006702103074,0.017842660178426603,0.049150001594743725,0.055812369227774807,0.055812369227774807,0.0021119324181626186,0.11668484187568158,0.03133288379411103
microsoft/mmdnn,Y,4752,1072,27835,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/MMdnn/graphs/contributors shows there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the some of the functions in https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/keras/extra_layers.py and https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/paddle/paddle_parser.py have appropriate docstrings",1,https://github.com/microsoft/MMdnn/graphs/commit-activity shows there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",1,https://github.com/microsoft/MMdnn/blob/master/LICENSE,1,There are many files related to testing,172.0,192.0,117.0,117.0,2004.0,1727.0,1727.0,22.0,112.0,3594.0,0.05325077399380805,0.14285714285714285,0.013519759648717357,0.013555787278415016,0.06391732848531241,0.0840348401537638,0.0840348401537638,0.011615628299894402,0.12213740458015268,0.08078219824679703
microsoft/nni,Y,6311,1530,56227,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/nni/graphs/contributors show that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the some of the functions in https://github.com/microsoft/nni/blob/master/src/nni_manager/training_service/remote_machine/gpuScheduler.ts and https://github.com/microsoft/nni/blob/master/src/nni_manager/training_service/remote_machine/remoteMachineData.ts have appropriate docstrings",1,https://github.com/microsoft/nni/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/nni/issues/2624 and https://github.com/microsoft/nni/issues/2613",1,https://github.com/microsoft/nni/blob/master/LICENSE,1,There are many files related to testing,251.0,163.0,562.0,486.0,2161.0,2512.0,2512.0,22.0,188.0,4065.0,0.07770897832817338,0.1212797619047619,0.06494106771435175,0.056308654848800835,0.06892482378081842,0.122232494769111,0.122232494769111,0.011615628299894402,0.2050163576881134,0.0913688469318948
microsoft/tf2-gnn,Y,188,147,4049,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/tf2-gnn/graphs/contributors show that there are 3 contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/gnn.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/models/graph_task_model.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/nodes_to_graph_representation.py have appropriate docstrings",1,https://github.com/microsoft/tf2-gnn/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,0,The author of the project does not reply to issues or close them.,1,https://github.com/microsoft/tf2-gnn/blob/master/LICENSE,1,There are many files related to testing,7.0,1.0,0.0,0.0,10.0,6.0,6.0,1.0,0.0,16.0,0.0021671826625387,0.000744047619047619,0.0,0.0,0.00031894874493668867,0.0002919565957860931,0.0002919565957860931,0.0005279831045406547,0.0,0.0003596313778377163
microsoft/windows-machine-learning,Y,554,696,251,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/Windows-Machine-Learning/graphs/contributors shows there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/microsoft/Windows-Machine-Learning/graphs/commit-activity shows there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",1,https://github.com/microsoft/Windows-Machine-Learning/blob/master/LICENSE,1,There are many files related to testing,9.0,0.0,2.0,2.0,18.0,37.0,37.0,0.0,2.0,36.0,0.0027863777089783283,0.0,0.00023110700254217703,0.00023172285946008574,0.0005741077408860396,0.0018003990073475742,0.0018003990073475742,0.0,0.0021810250817884407,0.0008091706001348617
milvus-io/bootcamp,Y,226,693,25527,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/milvus-io/bootcamp/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/milvus-io/bootcamp/graphs/commit-activity show that there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/milvus-io/bootcamp/issues/245 and https://github.com/milvus-io/bootcamp/issues/229",1,https://github.com/milvus-io/bootcamp/blob/master/LICENSE,0,there is no evidence of any testing done on the project.,15.0,2.0,37.0,25.0,149.0,300.0,300.0,5.0,6.0,236.0,0.0046439628482972135,0.001488095238095238,0.004275479547030275,0.002896535743251072,0.004752336299556661,0.014597829789304656,0.014597829789304656,0.0026399155227032735,0.0065430752453653224,0.005304562823106315
mindsdb/mindsdb,Y,2718,1303,11835,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/mindsdb/mindsdb/graphs/contributors shows that there are multiple contributors but mainly 2,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README but most of the functions in the source code are not documented.,1,https://github.com/mindsdb/mindsdb/graphs/commit-activity shows that there have been some activities in the past months.,1,"The project maintainers respond to issues, as evidenced by https://github.com/mindsdb/mindsdb/issues/560 and https://github.com/mindsdb/mindsdb/issues/550",1,https://github.com/mindsdb/mindsdb/blob/stable/LICENSE,1,There are many files related to testing,15.0,4.0,184.0,162.0,534.0,654.0,654.0,2.0,9.0,397.0,0.0046439628482972135,0.002976190476190476,0.02126184423388029,0.018769551616266946,0.017031862979619176,0.03182326894068415,0.03182326894068415,0.0010559662090813093,0.009814612868047983,0.008923353562598336
